,rhos,seed,sgmds,Initial transient,Test time,Nodes per layer,Error,Layers,_wandb,Resized,_runtime,Train length,_step,alphas,densities,Total time,Test length,sigmas,R_scalings,Train time,_timestamp,Total nodes
0,[0.66197057738689],7441,['tanh'],2,19.45338442,[2000],0.1349,1,{'runtime': 140},14,141.93163347244263,60000,1,[0.7],[0.0136099655084503],139.100065919,10000,[1.207712195562154],[1.2157655005256274],119.646630449,1705529239.3437264,2000
1,"[0.6942951744806503, 1.4072916043271837, 1.2610758929348114]",4978,"['tanh', 'tanh', 'tanh']",2,175.761015317,"[2000, 2000, 2000]",0.1293,3,{'runtime': 1289},14,1290.0896656513214,60000,1,"[0.7, 0.7, 0.7]","[0.07827979687070541, 0.02388225999033704, 0.16498065192925385]",1285.285476602,10000,"[1.2854637977327377, 0.5049963884080837, 0.9085281065028424]","[1.3386870224967435, 0.9078903955450066, 0.5289646888906402]",1109.524408855,1705529094.1789358,6000
2,"[1.2294690161567967, 1.0102476869454649, 0.8314025518841378, 1.0658334647891885, 1.32000803667089]",8338,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh']",2,318.146909248,"[2000, 2000, 2000, 2000, 2000]",0.13,5,{'runtime': 2388},14,2389.8463263511658,60000,1,"[0.7, 0.7, 0.7, 0.7, 0.7]","[0.1807355108805687, 0.10315298114378518, 0.060092765251802856, 0.09754054343178624, 0.16961197159812869]",2382.831550581,10000,"[1.075132614633338, 1.1052253623230084, 0.7510153251532535, 0.904700916624374, 0.8656591138476283]","[1.4829208382175778, 0.8805451228376134, 1.0851290472626969, 1.0666187691963605, 1.171876094523329]",2064.684590723,1705527800.5999784,10000
3,"[0.7236988585558419, 1.3239941386758982, 0.7769901397369907, 0.5835638851222235, 1.0497551945860053, 1.1054328853713895, 1.267471262561942, 0.6428625358630067]",5575,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",2,527.59232733,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0.1278,8,{'runtime': 4133},14,4134.328299045563,60000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[0.05648854680234369, 0.10628771493512706, 0.18730301933449356, 0.10170710356729824, 0.186271573198186, 0.15334082566534746, 0.10487308800085872, 0.13414737078494457]",4124.529429899,10000,"[0.7779695362156457, 0.8029042118274498, 0.854778636019064, 1.366499209146657, 0.9454976142594952, 1.4178761376044458, 0.8229262422410369, 0.6952200866433283]","[1.2632365536470056, 1.3225462416137843, 1.454095335895619, 1.262744015608914, 0.7877298631555734, 0.912792462576156, 0.9608828453558612, 0.7645137433168787]",3596.937049719,1705525406.747311,16000
4,"[0.5789627058583722, 0.7965475447459315, 0.6950874780706483, 1.3865500598586862, 1.3139806539348116, 1.103380210618648, 1.1453884332720192, 0.6708969948989282, 1.3083277261129194, 1.1417825197884532]",9711,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",2,676.091557786,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0.1416,10,{'runtime': 5437},14,5438.879999637604,60000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[0.023369983011666512, 0.028803207667175625, 0.1176556569926554, 0.03270408840039342, 0.01141257490742844, 0.1865963505682162, 0.029832846197379352, 0.08042175372554357, 0.10305231121689036, 0.145925058275575]",5427.146324544,10000,"[1.4571577050450455, 0.8407090321668725, 1.081410231541465, 1.1318381412757044, 1.3966262995316856, 1.2003655878733004, 1.4851868657692386, 1.3093514666246535, 0.8133904122359815, 1.298435224609338]","[1.3839883984476615, 0.6590349563390658, 0.9683162301320816, 1.4197778694068597, 0.7116230167448699, 0.6978358568962277, 0.8460370678683132, 0.8293196622611797, 1.0977112000315992, 1.2588714952559732]",4751.054715678,1705521269.0601256,20000
5,[0.793477434051136],8829,['tanh'],2,17.786349158,[2000],0.1365,1,{'runtime': 130},14,131.7514009475708,60000,1,[0.7],[0.19820323354728045],128.946897506,10000,[1.251625277262077],[0.960035326361454],111.160494868,1705515827.288262,2000
6,"[0.9657893857152612, 1.4676042376630969, 0.7545666525090649]",4027,"['tanh', 'tanh', 'tanh']",2,177.41600569,"[2000, 2000, 2000]",0.1275,3,{'runtime': 1301},14,1302.3961882591248,60000,1,"[0.7, 0.7, 0.7]","[0.1655241781941209, 0.12990484345569256, 0.04593518622191452]",1297.102798257,10000,"[1.0693929859826203, 1.0634613723407242, 0.5809443241432465]","[1.49235722060188, 0.556104453965649, 1.0271675941754368]",1119.686738937,1705515692.2857254,6000
7,"[0.794672179126394, 0.8330261732682092, 0.7900139705965793, 1.0206074310385138, 0.6542828468407913]",9353,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh']",2,320.592206512,"[2000, 2000, 2000, 2000, 2000]",0.128,5,{'runtime': 2406},14,2407.4547691345215,60000,1,"[0.7, 0.7, 0.7, 0.7, 0.7]","[0.060729137829095475, 0.10654969218420862, 0.16037179707374832, 0.01607775330815052, 0.1039578839713956]",2400.61074934,10000,"[0.8466047218770252, 0.6881011903685941, 0.5370592744181567, 0.579714794876608, 1.0887997927271382]","[0.7517499535316167, 1.110421489299214, 1.3137478942409575, 0.6214633954898241, 1.1946085438157508]",2080.018490538,1705514386.13944,10000
8,"[1.284301743799209, 1.4627240439854998, 1.2035824034590177, 0.8310880891094704, 1.3052512762935478, 1.4796547540362694, 0.8308109546616792, 0.5915303180616225]",9641,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",2,525.132316649,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0.132,8,{'runtime': 4116},14,4117.819148540497,60000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[0.184446569845906, 0.10837859336646676, 0.11517408586260876, 0.10105811538983202, 0.028759121409299607, 0.16249846603931276, 0.14387067018922692, 0.1713322069584786]",4108.00602044,10000,"[1.2720348460835351, 1.3789903373595878, 0.9508683899236964, 0.6986257874902162, 0.6659264160934811, 1.2911993146910257, 1.0493483548262637, 1.3523709509429864]","[1.017384259195781, 1.323324536997248, 1.396897537325383, 0.8145670606668964, 1.0343837342029234, 0.7635920291992802, 0.7096955958397159, 1.1624377075226635]",3582.873651661,1705511974.8759675,16000
9,"[1.448379789741081, 0.6250774646750038, 0.6171585674966182, 1.0911359440005417, 1.0040700593689065, 1.127839757541895, 1.0048679222462744, 0.6046276566112634, 0.7675976944040303, 0.739057579427183]",8836,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",2,665.246674104,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0.1321,10,{'runtime': 5371},14,5372.922895908356,60000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[0.019231856279361297, 0.09629902043793263, 0.13128591455272742, 0.11287779795971914, 0.16973574927863905, 0.1406998314477464, 0.08370727527842417, 0.08511735828850116, 0.19456070026106215, 0.11745812124525525]",5361.10670138,10000,"[0.8821579716938488, 1.4046856536860233, 0.6754867991555973, 1.144330620996206, 1.429339311268484, 1.4885173099616202, 0.5735571227903089, 1.4065852727242802, 1.3922684164886232, 1.4137212869686273]","[0.5621967948727092, 1.3411466327122996, 1.3941341075787268, 1.283392374258999, 1.2353955363807654, 0.9094189727205076, 1.289426643003115, 0.9022328813244052, 1.0467152613755122, 0.8173904692354381]",4695.859974746,1705507853.694502,20000
