,Error,_runtime,Test time,densities,R_scalings,_timestamp,Train length,Nodes per layer,Initial transient,Layers,_wandb,Total time,Total nodes,_step,alphas,sigmas,Resized,rhos,seed,sgmds,Train time,Test length
0,0.0322,746.8895285129547,39.259852312,"[0.10691822461330992, 0.10852322214904452, 0.029232688177005604, 0.18158342693769103, 0.14050946622099508, 0.1596768483736508, 0.12446116776346064, 0.1824904058464635, 0.11134096496546644, 0.0364302725715949]","[0.5294633177256909, 1.2702197076892134, 1.0801793835820306, 1.4451058568899209, 1.3934924368458304, 0.969783771370092, 1.0022809239042718, 1.4633594799462668, 0.8267186689423787, 0.8763107878436217]",1705313135.7607615,60000,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",2,10,{'runtime': 745},734.703531136,20000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[0.6638141686904115, 1.1268507923001598, 0.7180161933107689, 0.7631029385440866, 1.0892220107757111, 1.2201045391989382, 0.993339653402498, 1.0480600334092969, 1.0035390542868123, 0.9767105952964786]",14,"[1.080154222069731, 0.9231555109337284, 0.6358766793993333, 1.042049654866463, 1.2263009908007234, 1.3226433324432043, 0.5442851776620495, 0.7949936502534544, 1.251162348216813, 0.61801416316926]",1791,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",695.443627955,10000
1,0.0369,747.0469608306885,39.27041146,"[0.13633588375974037, 0.06523067990836318, 0.1289878055865949, 0.10319637334191532, 0.14524679750768268, 0.187352464530458, 0.14407624021131674, 0.044023491076948446, 0.13587512724750084, 0.01801167307848474]","[0.9528361498648008, 0.9015947096021476, 1.1199223272804817, 1.351104761630153, 0.6576653336515187, 0.813706229767738, 1.0279148380390373, 0.8623999827465483, 0.8767004214039024, 1.071617485485687]",1705312383.8112118,60000,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",2,10,{'runtime': 746},735.014087757,20000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[1.4969833266349608, 1.0909244336260373, 0.8479556254517961, 0.6165103482913126, 0.8458194352621744, 0.6363182373318077, 1.018495015961952, 0.7887657116339611, 0.865787772443117, 0.7282314106625105]",14,"[1.058032986540466, 1.1258738312291443, 0.7670736020087575, 0.8605842565926892, 0.7628440356312224, 0.8712159231933501, 1.455244005158714, 1.2515538729434883, 1.0172918739578694, 0.7326339009010138]",8455,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",695.743618117,10000
2,0.0317,747.0634875297546,39.313771882,"[0.10885617387703142, 0.10299021290079624, 0.06459285440798468, 0.030997141060758453, 0.104682162753594, 0.17264930579635213, 0.0437526387111324, 0.09130991701803104, 0.11161483468424852, 0.165447959353383]","[1.3860990224730043, 0.687549695026227, 0.9544712898735432, 0.9943437352738216, 1.063742787515404, 1.1914995342088472, 1.282642232270468, 1.239143932280646, 0.8771215944964345, 0.9804732666475844]",1705311632.8119144,60000,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",2,10,{'runtime': 746},735.066072898,20000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[0.784603774460746, 1.4840748658445002, 1.052990502804279, 1.3885131378327322, 0.802292218320514, 0.6879576215428731, 1.318749636602765, 0.91738803419647, 0.6787368106605047, 1.0603397026308472]",14,"[1.0246303621819135, 0.5497568864216902, 0.8239422175876522, 0.864356628677441, 1.2526786069186011, 0.5128102181602775, 0.7243305370927094, 1.0436524941057548, 1.0111000877190324, 0.7295943903585904]",6066,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",695.752249686,10000
3,0.0333,746.5489420890808,39.143987604,"[0.182513134452252, 0.08698815429396846, 0.1783891001423018, 0.05960358757097695, 0.1846018782010814, 0.1944749498588444, 0.18304149520233093, 0.048776416606222166, 0.10850678259084094, 0.023853884757359087]","[0.727262601085892, 0.654211970785453, 1.2522464862227447, 0.7458288908218225, 0.6790263044755244, 0.5260931899373755, 1.1738608237111323, 1.243776309579867, 1.4759784852328397, 1.4505727938673647]",1705310882.276886,60000,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",2,10,{'runtime': 745},734.364990321,20000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[0.9622348042416156, 0.5954766496416364, 1.0521302628248546, 0.9113507145898558, 1.068818035325379, 1.1433437995577884, 1.1240367511661498, 1.2757638115219834, 1.399882404787617, 0.9851993414367408]",14,"[1.2510520449558389, 1.0489243494043454, 1.1162084596924216, 0.8707531165242391, 1.4880299682442968, 1.0874230393671458, 1.2263894144219123, 0.8089855584003093, 1.0580777209271692, 0.691632839088116]",5133,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",695.220945747,10000
4,0.0349,747.3676822185516,39.340776736,"[0.1946546701390047, 0.04165276874975698, 0.1085931600309602, 0.1516239626524188, 0.08255783351904103, 0.1736293091478198, 0.08364611984673151, 0.1320791065998358, 0.15684831288730988, 0.12968184300321783]","[1.4106403228221551, 0.9357417144658188, 1.3076077791208862, 0.6182659387040566, 0.7908383918605033, 1.1462013567289069, 1.2823212218439122, 0.853636411590856, 1.4542005624941357, 0.6530921421809079]",1705310132.1391933,60000,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",2,10,{'runtime': 746},735.118095087,20000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[1.3456718157542742, 0.7546497363991344, 1.0208235591191115, 0.7525188445679478, 0.6129564248517799, 0.957110418496995, 0.8570020324305392, 1.3927485080870052, 0.6894787298145089, 1.0382389180878129]",14,"[0.8191042598737356, 0.7331877433620425, 0.5388655674446179, 0.8221797276706595, 1.031992614329153, 1.2216551617270763, 1.4013716031331382, 0.938546376476336, 1.2306490530486045, 1.3428063921953663]",85,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",695.777252781,10000
5,0.0341,746.0440180301666,39.081064476,"[0.1332605240598773, 0.13668906675525597, 0.14611182901445835, 0.016079544075923595, 0.17648759187061577, 0.030421734679212532, 0.049555426379938254, 0.1184922825731373, 0.1090710348568628, 0.073219138497063]","[0.528174597862225, 0.96802220617096, 1.2785227800985646, 1.1482887567303228, 1.126777335394173, 0.8031112551550631, 1.4688470742358672, 1.381298637100791, 1.4113276847185374, 1.2925448310203451]",1705309379.795043,60000,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",2,10,{'runtime': 745},734.11096269,20000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[1.1543391185376055, 0.8853986649247247, 1.1290899577936742, 1.4630657425387414, 1.2436755456416866, 1.21720007661124, 0.9821075133160846, 1.467280021439912, 0.5749034776020228, 0.9077272177031944]",14,"[1.177623446019777, 0.5335985296753958, 0.9423802212357376, 0.831411483294768, 0.7403393596292711, 1.0788968950217797, 1.0705211775033394, 1.352701872377914, 1.1936023760170351, 1.0531745410143445]",2890,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",695.029849574,10000
6,0.0336,747.8837440013885,39.282594988,"[0.0211654781137374, 0.0628302837650136, 0.04684664341620888, 0.022618560102341107, 0.13227253022625754, 0.1590798455793435, 0.18775442146449847, 0.1431791438156528, 0.04827850104311163, 0.12635582508521345]","[1.1123205423670326, 0.5445687864780978, 1.0376909648028496, 0.6346576316766301, 0.8053489430090565, 0.7837773097462872, 0.5366000227385177, 0.5964625416638815, 0.9129370030223158, 0.7162113818102106]",1705308625.454724,60000,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",2,10,{'runtime': 746},735.73754707,20000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[0.9903302088678068, 1.4538087412878231, 0.652712472929587, 1.2512574878396423, 0.6318994809226162, 0.9358815317496966, 0.580789463805103, 0.9632070131926124, 1.3312533001231657, 0.5972235004052056]",14,"[0.6316621696905845, 0.719201608281372, 1.3950796596872028, 1.4983904510298145, 1.3878437364634837, 1.169525118121168, 0.9522524839818648, 0.8228801688390915, 0.6827056250170008, 1.3359468861679735]",69,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",696.454902812,10000
7,0.0278,746.6934456825256,39.137743535,"[0.011910019830506309, 0.03263525650149319, 0.042161228512233834, 0.18038701811512176, 0.13158890071878146, 0.1697547219833749, 0.07585464947317302, 0.12429407574022112, 0.0950979100688851, 0.18804844823176337]","[1.3034406011215596, 1.3195607664898024, 0.5346299566479363, 1.171184296753968, 0.8961871009976596, 0.5955775087858505, 0.8687207224803459, 0.6953507363510693, 1.0123728111083308, 0.6542933925580369]",1705307874.3948677,60000,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",2,10,{'runtime': 745},734.635268449,20000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[0.5113131658341209, 0.7737598393833275, 1.3277659864694016, 1.211330580210764, 0.7365303369550434, 0.9158847819571138, 0.9667691012963964, 1.3299985845886098, 1.265476533627533, 0.8119239141002162]",14,"[0.7796558156026796, 0.9714281508699036, 1.1719570431941195, 1.0802942471803008, 1.1963656058476635, 1.1536760986298509, 1.4932038815461437, 1.0709050888727738, 1.3874743342295786, 0.7057115700165907]",1152,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",695.497464934,10000
8,0.0352,748.0589618682861,39.244972724,"[0.012906237968454025, 0.03735971427510293, 0.05059156723478897, 0.0161463381951447, 0.04379602753676305, 0.016467358925874188, 0.10397039094173643, 0.1445783265776469, 0.18436073282098064, 0.0980107381281756]","[0.7339933446379787, 1.2752801782344867, 1.05770468678074, 1.3243919425651067, 0.9116502141178984, 0.6938478453828276, 1.0583489805490434, 1.3743305546996063, 1.051538060259018, 0.7634441253270075]",1705307123.848233,60000,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",2,10,{'runtime': 744},733.061820029,20000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[1.1876278819327366, 1.3060235097287385, 0.5486895346466738, 0.6211868436851937, 0.5343824953312367, 1.3260950437015238, 0.8975336868939573, 0.6683057185731823, 0.8414044526865839, 1.3343289843156998]",14,"[0.7084949671014912, 1.3142691139063956, 0.9322668578275798, 1.197438092605803, 0.8119983682111477, 0.6726598208830072, 1.1883477363958512, 1.1382636742482704, 0.9913908294185928, 1.286899554850783]",7065,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",693.816804505,10000
9,0.0374,769.5983598232269,40.614607783,"[0.049189207185761266, 0.10883407786093692, 0.19243240997309408, 0.019180550935821543, 0.029403522125355963, 0.1366089865780495, 0.16396190614935993, 0.09590326934337794, 0.18261957016131325, 0.19772152528317108]","[0.8376538104863317, 0.784734684407245, 1.220181672247021, 0.8987667878792815, 1.0724642235906388, 1.0816902344428374, 1.3709200039684233, 1.1522983215502691, 1.0135596934901172, 0.9824111245211512]",1705306371.8740127,60000,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",2,10,{'runtime': 769},753.394733171,20000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[1.4884590437117249, 0.5575216815429381, 0.5349401093137764, 1.3815544266108652, 0.7968363375380906, 1.0205201936609072, 1.3688971190024315, 1.2574243251258528, 1.4896579432018542, 1.467871130470813]",14,"[1.1562234272581828, 1.4204198007948947, 0.6449033413896845, 0.8451114224197216, 0.912176115404582, 1.366623386788328, 1.205702107761597, 0.9307352038279464, 1.25528179633312, 0.7674284620122005]",4539,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",712.700541233,10000
