,R_scalings,Nodes per layer,seed,sigmas,Resized,Test time,rhos,_step,_timestamp,Initial transient,_wandb,_runtime,Train time,Train length,densities,Total time,Test length,Total nodes,Error,sgmds,Layers,alphas
0,1.0287147522727047,2000,5411,0.6484069576014502,14,7.875244888,1.409205318461109,1,1696864511.484663,0,{'runtime': 98},100.09621000289916,87.998509077,60000,0.07517407945355792,95.873843527,10000,2000,0.0322,['<PyCall.jlwrap tanh>'],1,1
1,"[1.0633461845836605, 1.3107675692698026]","[2000, 2196]",7524,"[1.0467612313125434, 1.2602715601481154]",14,14.396638124,"[1.136009239235241, 0.5132289979987441]",1,1696864407.2322764,0,{'runtime': 156},157.8094973564148,135.664202889,60000,"[0.16495202206574325, 0.06167546186468327]",150.060883592,10000,4196,0.035,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",2,"[1, 1]"
2,"[0.7166333796234433, 0.937367607954002, 1.247182203470906]","[2000, 2196, 2392]",6303,"[0.9651406227031588, 0.9028085980848588, 0.9354514111079456]",14,22.137804706,"[1.229876999468044, 1.2931738181184875, 1.302006901333386]",1,1696864244.628714,0,{'runtime': 225},226.9259181022644,192.806620511,60000,"[0.1159864099337946, 0.04807927468367296, 0.11225123724230995]",214.944481615,10000,6588,0.0353,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",3,"[1, 1, 1]"
3,"[1.372080257834534, 1.2902651618494596, 1.1137498217770192, 1.154112582055941]","[2000, 2196, 2392, 2588]",8229,"[1.3350658120693382, 1.1061611701237737, 0.7901834644565494, 0.633729199826436]",14,33.158259502,"[1.070771193399099, 0.6172333855531489, 1.100254239044713, 1.3255787754112598]",1,1696864013.2280552,0,{'runtime': 319},320.5176422595978,271.266681511,60000,"[0.06859281440238636, 0.19468359502509583, 0.08597687215375126, 0.08129324171626609]",304.425016639,10000,9176,0.0387,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",4,"[1, 1, 1, 1]"
4,"[0.6084648202771267, 0.8271566123515239, 1.085669552418611, 0.9051164293368514, 1.0587892048627152]","[2000, 2196, 2392, 2588, 2784]",3783,"[0.9441258479064496, 0.6610817425119989, 1.134335145711653, 0.958570194503706, 1.1771932081114245]",14,43.468873221,"[0.6983973295626952, 1.1709722420654982, 1.1725533061576048, 1.1709446764822564, 1.2531671561716804]",1,1696863688.4265146,0,{'runtime': 407},408.42225766181946,345.009096124,60000,"[0.04638144743387946, 0.0811250176445998, 0.12599514526031372, 0.03558818324023966, 0.045298972869207615]",388.478012238,10000,11960,0.0364,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",5,"[1, 1, 1, 1, 1]"
5,"[0.5332123900522597, 0.9971941829334418, 1.027088882708143, 1.1072811509034244, 0.8451220796710568, 1.1024569914913984]","[2000, 2196, 2392, 2588, 2784, 2980]",2934,"[0.7922131879088447, 0.5636773219040393, 0.8906584508046819, 0.8086388722508843, 1.1660374695833344, 0.8684867634071669]",14,53.307384024,"[1.1551544162279783, 1.1601343696758637, 0.7486841838055893, 0.6460932273795889, 0.7296302475747202, 1.150857333672768]",1,1696863275.786935,0,{'runtime': 499},500.67570328712463,420.300869676,60000,"[0.022724917638504, 0.12817127790387683, 0.10662137587284862, 0.13301594316667054, 0.11499326531053829, 0.1123336939335636]",473.608297474,10000,14940,0.0372,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",6,"[1, 1, 1, 1, 1, 1]"
6,"[0.6700871314660676, 1.3589966903649175, 1.0673426467909648, 0.8406973743992939, 0.7648803438734393, 1.144063263556149, 0.7964728611570411]","[2000, 2196, 2392, 2588, 2784, 2980, 3176]",3460,"[1.2697764584692997, 0.5815489978355659, 0.6842940796429462, 1.1619571878019594, 0.8165212726958889, 0.7588817275409994, 1.139872968277997]",14,64.970240458,"[0.5228234143833621, 1.2975428311622617, 1.3115655865244489, 1.291809035961229, 0.9684928241267504, 0.8754098490353704, 0.7831999808599645]",1,1696860330.2064333,0,{'runtime': 607},608.9084403514862,511.661542182,60000,"[0.08690511387506274, 0.06620285610782063, 0.17559367775116522, 0.16342094332487295, 0.13281613657833105, 0.10557202321866568, 0.09095863552276816]",576.631822897,10000,18116,0.0395,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",7,"[1, 1, 1, 1, 1, 1, 1]"
7,"[1.0742090170331982, 1.3714060612146368, 1.2180191275223478, 1.4185360221310388, 0.8897445246615683, 0.8478666837262729, 1.2538011204220472, 0.9874036818938376]","[2000, 2196, 2392, 2588, 2784, 2980, 3176, 3372]",2778,"[1.1911381959206984, 1.4294676152394032, 1.4626492838874816, 1.2199606838631372, 0.5955456977966214, 1.0213438207202252, 0.5843267449049863, 0.6985356682737599]",14,81.119256778,"[0.991937208595682, 1.31237103470071, 0.8625624682863129, 0.9487272901458076, 1.1484923645048233, 0.5330680398723806, 1.1160465114247198, 0.6294290863226978]",1,1696859716.6929998,0,{'runtime': 771},772.4454228878021,633.800162646,60000,"[0.1405103453938033, 0.1002238630043745, 0.06391530066529512, 0.013732149583381828, 0.05139118140411736, 0.04368820913091792, 0.01112135396588786, 0.014529665415013732]",714.919467687,10000,21488,0.0376,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",8,"[1, 1, 1, 1, 1, 1, 1, 1]"
8,"[1.1392328385339447, 1.2435243813297248, 1.1115714592259651, 1.4823424036674255, 1.3377491527652747, 0.737393933451267, 0.607018327019216, 0.6195633763978327, 0.711311334822858]","[2000, 2196, 2392, 2588, 2784, 2980, 3176, 3372, 3568]",2345,"[0.8774159347591873, 0.9427937172098176, 1.2415820912466629, 1.372063672021376, 0.915532762082688, 1.244662631887876, 1.0392751805652738, 0.7483475176547832, 1.1043850683236336]",14,98.209570644,"[1.3841868671401016, 1.1797953711998597, 0.6043614285819991, 1.3204062621760189, 0.9454054750972049, 0.8018822973638282, 0.8698447157434214, 0.9212845578085976, 0.633465757682785]",1,1696858939.9287896,0,{'runtime': 894},895.9394977092743,728.041523307,60000,"[0.1821988044446171, 0.10888606027578863, 0.03447663800132849, 0.19930929872543873, 0.09696867600928603, 0.03003029306266249, 0.08399965139332413, 0.05899655959608984, 0.08900367746730846]",826.251441505,10000,25056,0.0359,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
9,"[0.7427079974635903, 1.227472417394475, 1.4049686577571334, 1.228999345947141, 0.5281668297988267, 0.7944616510874515, 0.7311205991912199, 0.5741846615849147, 0.7079939712019777, 1.119842291485276]","[2000, 2196, 2392, 2588, 2784, 2980, 3176, 3372, 3568, 3764]",9,"[1.2248551030739736, 1.19278604702656, 1.095472159077301, 1.129421520555577, 1.1534662789932346, 0.7725965769920042, 0.5417315360589671, 1.167130026687622, 0.62559881121127, 1.268604794906543]",14,112.804321642,"[1.4297881015370084, 1.4081368146504691, 0.9711902920442208, 0.971709188799019, 0.7079887550907413, 1.320099918090365, 1.4445383329785522, 0.9290459677551444, 1.3167229886893157, 0.8140209095267286]",1,1696858039.7048311,0,{'runtime': 1060},1061.7974870204926,860.926218043,60000,"[0.09073145876441677, 0.10093800155364492, 0.04421989196525334, 0.01982320027218602, 0.07416233128702329, 0.06859903133219804, 0.06982685665059662, 0.16297302058555055, 0.15314439829779866, 0.10807588464480725]",973.882388047,10000,28820,0.0389,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
